row_number,hubmap_tissue_block_id,comments
773,HBM222.SQKD.292,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM222.SQKD.292
775,HBM345.QSPF.289,401 Unauthorized: No Authorization header
776,HBM872.XRHM.685,401 Unauthorized: No Authorization header
778,HBM255.XXFK.472,401 Unauthorized: No Authorization header
780,HBM723.WVZJ.827,401 Unauthorized: No Authorization header
784,HBM677.NWSV.346,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM677.NWSV.346
785,HBM399.HRKG.458,401 Unauthorized: No Authorization header
787,HBM658.HLPP.972,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM658.HLPP.972
789,HBM529.CXVH.794,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM529.CXVH.794
790,HBM578.GNTF.748,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM578.GNTF.748
795,HBM439.XLQC.765,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM439.XLQC.765
796,HBM665.QHRJ.735,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM665.QHRJ.735
799,HBM779.PTHT.732,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM779.PTHT.732
801,HBM823.GGSW.733,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM823.GGSW.733
802,HBM999.WVWP.899,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM999.WVWP.899
803,HBM222.SQKD.292,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM222.SQKD.292
805,HBM439.RKPP.789,401 Unauthorized: No Authorization header
806,HBM465.JWQL.645,401 Unauthorized: No Authorization header
807,HBM665.QHRJ.735,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM665.QHRJ.735
810,HBM578.GNTF.748,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM578.GNTF.748
813,HBM447.SVDJ.994,401 Unauthorized: No Authorization header
814,HBM674.NJDT.733,401 Unauthorized: No Authorization header
815,HBM757.NMDS.629,401 Unauthorized: No Authorization header
816,HBM399.HRKG.458,401 Unauthorized: No Authorization header
818,HBM346.LVWR.673,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM346.LVWR.673
820,HBM336.BZXG.436,401 Unauthorized: No Authorization header
821,HBM568.WDZZ.977,401 Unauthorized: No Authorization header
822,HBM833.RFVC.883,401 Unauthorized: No Authorization header
823,HBM337.KBLS.364,401 Unauthorized: No Authorization header
826,HBM345.QSPF.289,401 Unauthorized: No Authorization header
827,HBM872.XRHM.685,401 Unauthorized: No Authorization header
828,HBM252.NJGH.275,401 Unauthorized: No Authorization header
829,HBM635.PSTJ.637,401 Unauthorized: No Authorization header
831,HBM763.BTMG.534,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM763.BTMG.534
832,HBM222.SQKD.292,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM222.SQKD.292
834,HBM338.VMRG.486,401 Unauthorized: No Authorization header
835,HBM784.SPZB.799,401 Unauthorized: No Authorization header
836,HBM665.QHRJ.735,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM665.QHRJ.735
839,HBM665.QHRJ.735,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM665.QHRJ.735
841,HBM229.NBWV.944,401 Unauthorized: No Authorization header
842,HBM297.PFXV.394,401 Unauthorized: No Authorization header
843,HBM497.VGSN.945,401 Unauthorized: No Authorization header
845,HBM872.VTRJ.863,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM872.VTRJ.863
846,HBM665.QHRJ.735,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM665.QHRJ.735
848,HBM437.CVGQ.787,401 Unauthorized: No Authorization header
850,HBM495.CCMS.672,401 Unauthorized: No Authorization header
852,HBM798.ZZBP.697,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM798.ZZBP.697
